Tweet Id;Text;Name;Screen Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type;Media URLs;;;
1308111377521836033;RT @enesbatur00 : Burs başvuruları ne zaman? Ona da başvuruyum bari;sad pics for sad people;sadpicturess;2020-09-21T18:30:30.000Z;Mon Sep 21 18:30:30 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;;;;;
1308105014657929218;RT @ilbeoz : Sabırlı bir insanı bile gün gelince çığrından çıkartıp sonra sen delisin diyen insanlar acilen yok edilmeli;sad pics for sad people;sadpicturess;2020-09-21T18:05:13.000Z;Mon Sep 21 18:05:13 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;;;;;
1308096522236686337;https://t.co/VbuZkZHVID;sad pics for sad people;sadpicturess;2020-09-21T17:31:28.000Z;Mon Sep 21 17:31:28 +0000 2020;3889;57;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EidK2PjWkAA2HRV.jpg;https://pbs.twimg.com/media/EidK2PiWsAAP1gS.jpg;;
1308081317603663879;https://t.co/63g0KjF162;sad pics for sad people;sadpicturess;2020-09-21T16:31:03.000Z;Mon Sep 21 16:31:03 +0000 2020;1766;82;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/Eic9BTzXsAQyUT3.jpg;;;
1308081281855520775;https://t.co/P9wbnFz2mi;sad pics for sad people;sadpicturess;2020-09-21T16:30:55.000Z;Mon Sep 21 16:30:55 +0000 2020;733;12;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/Eic89y9WkAA0gSv.jpg;;;
1308080910164807688;RT @Yapbahsinicom : Bu hareketin büyüsünü Fifa oynayan herkes bilir. https://t.co/bYaN0lZ9MT;sad pics for sad people;sadpicturess;2020-09-21T16:29:26.000Z;Mon Sep 21 16:29:26 +0000 2020;0;0;tr;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/Eic2sqzXsAAVmjG.jpg;;;
1308080423856148491;RT @gameofbetcom : Efsane değişim 😂 https://t.co/nFk0ue1b0A;sad pics for sad people;sadpicturess;2020-09-21T16:27:30.000Z;Mon Sep 21 16:27:30 +0000 2020;0;0;tr;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;0;0;video;https://video.twimg.com/ext_tw_video/1308079340823998466/pu/pl/Ad5ZECvIjsDzMCGP.m3u8?tag=10;;;
1308075987255656448;RT @burakgunr1 : küçük kardeş belası.. 😤 https://t.co/DCZgY1hnhU;sad pics for sad people;sadpicturess;2020-09-21T16:09:52.000Z;Mon Sep 21 16:09:52 +0000 2020;0;0;tr;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;0;0;video;https://video.twimg.com/ext_tw_video/1308074493269680130/pu/pl/V2mE8gG8IdTVLOcC.m3u8?tag=10;;;
1308073615590600705;"RT @gorabetcom : 🎉🎉 Ayrıcalıklar Dünyası Gorabet'te Bonus Şöleni 🎉🎉

🎁 Hemen Üye Ol 15₺ Deneme Bonusunu Kap ‼️

💸💸 Yatırım Yap 400₺ Çevrimsiz VİP Bonusu Veya 1000₺'ye Varan Çevrimli veya Çevrimsiz Bonusu Kap ! 🔥🔥

💻 Güncel Adres : https://t.co/MywyGjfrR2 👈👈 https://t.co/T6t3qGKXjo";sad pics for sad people;sadpicturess;2020-09-21T16:00:27.000Z;Mon Sep 21 16:00:27 +0000 2020;0;0;tr;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;http://gorabet139.com ;0;0;photo;https://pbs.twimg.com/media/Eic0xnPXsAA8Gsc.jpg;;;
1308072015597838338;https://t.co/JR2bNyn9Pp;sad pics for sad people;sadpicturess;2020-09-21T15:54:05.000Z;Mon Sep 21 15:54:05 +0000 2020;840;31;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/Eic0j5OXcAYkin3.jpg;;;
1308071846475112449;"RT @NGS_tr : Günün yüksek oranlı maçları.😎

⚽️ Fenerbahçe - Hatayspor
⚽️ Aston Villa - Sheffield Utd.
⚽️ Milan - Bologna
⚽️ Portimonense - Ferreira

#NGSBahis giriş 👉 https://t.co/rst3qzajia https://t.co/Qm2HJWiR9z";sad pics for sad people;sadpicturess;2020-09-21T15:53:25.000Z;Mon Sep 21 15:53:25 +0000 2020;0;0;tr;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;http://ngs.social ;1;0;photo;https://pbs.twimg.com/media/EicHpDmXsAACMRj.jpg;;;
1308053958905270275;RT @sadpicturess : https://t.co/acHgAkOJHV;sad pics for sad people;sadpicturess;2020-09-21T14:42:20.000Z;Mon Sep 21 14:42:20 +0000 2020;0;0;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EicgurXWsAQPqvu.jpg;;;
1308053617782521859;RT @portakaleyy : Belediye başkanını yenmedik demeyiz 🥰 https://t.co/kanPbLkLwB;sad pics for sad people;sadpicturess;2020-09-21T14:40:59.000Z;Mon Sep 21 14:40:59 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;https://twitter.com/gayriresmihsp/status/1308049246512443393 ;0;0;;;;;
1308052056117256192;RT @favorisen1 : Herşey bir estetikle başladı... https://t.co/za7HeiLo0k;sad pics for sad people;sadpicturess;2020-09-21T14:34:47.000Z;Mon Sep 21 14:34:47 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;video;https://video.twimg.com/amplify_video/1308050123428069377/vid/720x720/NT3IlZ9f0FVkoCrN.mp4?tag=13;;;
1308050209474256897;https://t.co/acHgAkOJHV;sad pics for sad people;sadpicturess;2020-09-21T14:27:26.000Z;Mon Sep 21 14:27:26 +0000 2020;1701;110;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EicgurXWsAQPqvu.jpg;;;
1308048965854691335;RT @sadpicturess : https://t.co/Hsbu9AVmdN;sad pics for sad people;sadpicturess;2020-09-21T14:22:30.000Z;Mon Sep 21 14:22:30 +0000 2020;0;0;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EicZzHkXsAEeTB4.jpg;;;
1308048814771769344;RT @maksibetsosyal : Hayretler içinde Doları izliyorum https://t.co/SKolRQZCcs;sad pics for sad people;sadpicturess;2020-09-21T14:21:54.000Z;Mon Sep 21 14:21:54 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;video;https://video.twimg.com/ext_tw_video/1308043458448424962/pu/vid/480x480/020P4sRar3_oFxxr.mp4?tag=10;;;
